Area,Location,Property Type,Number of structures,Swimming Pool,Boundary,Age Category,Land Rate,Market Value,Number of rooms,Proximity to schools(km),Proximity to healthcare(km),Proximity to malls(km),Proximity to highway(km),Latitude,Longitude
661.75,medium density,single_storey,1,Yes,walled,relatively new,57.14285714,183967.2857,4,0.587365209,0.135343915,3.035962032,0.226184394,-17.778820109707745,31.05696352063594
613.8,medium density,double_storey,1,No,walled,new,64.28571429,152864.9286,4,0.594893366,0.206840668,2.976792231,0.492294057,-17.80890961374376,31.041965897659527
994.78,medium density,single_storey,2,No,walled,relatively new,64.28571429,166248.4571,6,0.616650602,0.182375784,3.029635823,0.273395387,-17.839919422141367,30.996482570079017
955.93,medium density,single_storey,1,Yes,walled,relatively new,64.28571429,163423.7286,6,0.626801734,0.226607453,2.997166474,0.505469896,-17.78904944905883,31.13266248770279
404.4,medium density,double_storey,1,Yes,walled,established,35.71428571,110803.8071,4,0.605726816,0.243463083,2.953353484,0.461341727,-17.830482559692058,31.12436155983747
994.82,medium density,single_storey,1,No,walled,new,64.28571429,158389.8571,5,0.649805824,0.229811999,3.02632253,0.532553837,-17.832054699910493,30.99068257072042
1007.99,medium density,single_storey,1,No,fenced,relatively new,64.28571429,155935.3,3,0.611213274,0.110582554,3.116778513,0.163505465,-17.809834085444898,31.047936045808882
1022.5,medium density,double_storey,2,No,walled,relatively new,64.28571429,156035.6571,5,0.673558187,0.173613015,3.196798032,0.426004109,-17.83510147790854,31.122153123002175
955.87,medium density,single_storey,2,Yes,walled,established,64.28571429,143841.8214,3,1.911884355,1.038555896,4.308598452,0.23162851,-17.786335258127693,30.995809212163408
404.47,medium density,single_storey,1,No,walled,new,35.71428571,108005.2214,5,1.931425831,1.019003844,4.345716619,0.274876923,-17.783307135604936,30.955655286203896
993.62,medium density,single_storey,1,No,walled,new,64.28571429,145376.2214,4,0.468422129,1.098244154,4.804723389,0.081876327,-17.790472509490716,31.016030819338713
1022.42,medium density,single_storey,1,Yes,walled,new,64.28571429,146721.0929,4,0.534890153,1.071394204,4.819832246,0.035645037,-17.770547721082224,30.954647664447656
653.74,medium density,single_storey,1,No,walled,new,57.14285714,117854.0857,3,0.541121067,1.00525082,4.745294416,0.149492102,-17.847070234582343,31.040170671220817
614.12,medium density,single_storey,1,No,walled,new,64.28571429,119904.6857,3,0.506470957,1.060040541,4.786983706,0.18035984,-17.792200036961063,30.958262249130055
595.45,medium density,single_storey,1,No,walled,old,64.28571429,117081.2714,5,0.525208757,1.030062643,4.764297361,0.161683602,-17.765526200129734,31.06661284840535
954.79,medium density,single_storey,2,No,walled,established,64.28571429,135918.5071,4,0.482891382,1.065632928,4.776146368,0.203440933,-17.831413761702866,31.129963472213184
1016.78,medium density,single_storey,1,Yes,walled,established,64.28571429,139105.7071,3,0.484105524,1.038627749,4.742493641,0.205789895,-17.793214964415785,30.95649493803919
954.67,medium density,single_storey,2,No,walled,relatively new,64.28571429,133885.4286,3,0.444962863,1.084215303,4.769450229,0.329498972,-17.776909798663695,31.056378558686742
681.09,medium density,single_storey,1,No,walled,new,64.28571429,114433.5,6,0.37988045,1.078503554,4.697956257,0.150031255,-17.80096658309439,31.094316307270223
